id,code,AggIndex,SMILES,inventor,color_in_powder,patent,reference,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,corresponding_author,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,report_year,application1,application2,application3,application4,pka,comment,doi,tested_solvent
1,TPE-IQ-2O,1,CCC[n+]6cc4ccc(/C(=C(c1ccc(OC)cc1)\c2ccc(OC)cc2)c3ccccc3)cc4c(c5ccccc5)c6c7ccccc7,GUI Chen,yellow,TTC.PA. 0871TTC.PA. 0871,"Chem. Sci., 2017, 8, 1822-1830",725.31,430,530,620,,,0.006,0.131,,,,,,,AIE,ICT,1,,1,,1,,,,1,TANG Ben Zhong,,,,,,2017,cell staining,anticancer,,,,,,
2,DBA-AM,2,CCCCN(CCCC)c1ccc(/C=N/C(C#N)=C(N)/C#N)cc1,HAN Ting,orange,,"J. Mater. Chem. C, 2016, 4,10430-10434",323.43,430,480,621,,552,0.008,0.09,,0.045,,,,,AIE,ICT,1,,1,,1,1,1,1,0,,,,,,,,,,,,,,,
3,DMA-AM,3,CN(C)c1ccc(/C=N/C(C#N)=C(N)/C#N)cc1,HAN Ting,yellow,,"J. Mater. Chem. C, 2016, 4,10430-10434",239.28,414,475,576,515,,0.003,0.14,,0.066,,,,,AIE,ICT,1,,1,,1,1,1,1,0,,,,,,,,,,,,,,,
4,DEAH-AM,4,CCN(CC)c1ccc(/C=N/C(C#N)=C(N)/C#N)c(O)c1,HAN Ting,red,,,283.33,440,476,651,504,560,0.008,0.147,,0.004,,,,,AIE,ICT,1,,1,,1,1,1,1,0,,,,,,,,,,,,,,,
5,TTE,5,c4csc(/C(=C(c1cccs1)/c2cccs2)c3cccs3)c4,VIGLIANTI Lucia,yellow,WO 2016/206615A1,"Chem. Sci.2017, 8, 2629 - 2639",356.5,368,,413,410,444,,0.026,,,,,0.47,,AIE,neutral aromatic,1,,1,,1,1,1,1,0,,,,,,,,,,,,,,,
6,TFE,6,c4coc(/C(=C(c1ccco1)/c2ccco2)c3ccco3)c4,VIGLIANTI Lucia,yellow,WO 2016/206615A1,,292,387,,499,489,532,,0.11,,,,,1.58,,AIE,neutral aromatic,1,,1,,1,1,1,1,0,,,,,,,,,,,,,,,
7,SL-TTE,7,c5csc(c3c(c1cccs1)c2sccc2c4ccsc34)c5,VIGLIANTI Lucia,white,WO 2016/206615A1,"Chem. Sci.2017, 8, 2629 - 2639",354.5,323,489,,380,,,,,,,,,,AIE,neutral aromatic,0,1,,,,1,1,,0,,,,,,,,,,,,,,,
8,FL-TTE,8,c6cc5c1ccsc1c4c2sccc2c3ccsc3c4c5s6,VIGLIANTI Lucia,white,WO 2016/206615A1,"Chem. Sci.2017, 8, 2629 - 2639",352.5,299,381,450,,,,,,,,,,,ACQ,neutral aromatic,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,
9,FL-TFE,9,c6cc5c1ccoc1c4c2occc2c3ccoc3c4c5o6,VIGLIANTI Lucia,white,WO 2016/206615A1,,288,274,361,450,,,,,,,,,,,ACQ,neutral aromatic,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,
10,DTE,10,C(=C\c1cccs1)/c2cccs2,VIGLIANTI Lucia,white,,"Chem. Sci.2017, 8, 2629 - 2639",,322,402,442,402,438,0.15,,,,0.85,,,,ACQ,neutral aromatic,0,,1,0,1,1,1,1,0,,,,,,,,,,,,,,,
